第4719回,2017/08/02,2429,36口,"788,800円",149口,"65,700円",85口,"427,200円",599口,"32,800円"
第4720回,2017/08/03,8620,34口,"857,500円",267口,"35,700円",71口,"446,600円","1,283口","17,800円"
第4721回,2017/08/04,5547,19口,"1,186,800円",112口,"98,900円",51口,"642,800円",598口,"49,400円"
第4722回,2017/08/07,1876,19口,"1,091,900円",325口,"45,400円",56口,"568,600円","1,495口","22,700円"
第4723回,2017/08/08,5851,20口,"950,900円",133口,"79,200円",62口,"515,000円",676口,"39,600円"
第4724回,2017/08/09,7394,10口,"951,300円",388口,"39,600円",65口,"495,400円","1,691口","19,800円"
第4725回,2017/08/10,7877,17口,"851,900円",80口,"212,900円",79口,"532,400円",182口,"106,400円"
第4726回,2017/08/11,6631,19口,"915,000円",177口,"76,200円",59口,"495,600円",708口,"38,100円"
第4727回,2017/08/14,9045,24口,"901,500円",381口,"37,500円",70口,"469,500円","1,521口","18,700円"
第4728回,2017/08/15,5636,21口,"1,163,000円",147口,"96,900円",39口,"629,900円",553口,"48,400円"
第4729回,2017/08/16,7984,22口,"672,600円",354口,"28,000円",126口,"350,300円","1,794口","14,000円"
第4730回,2017/08/17,6380,3口,"1,189,300円",381口,"49,500円",56口,"619,400円","1,577口","24,700円"
第4731回,2017/08/18,4540,11口,"1,398,100円",106口,"116,500円",49口,"757,300円",604口,"58,200円"
第4732回,2017/08/21,3219,25口,"916,900円",417口,"38,200円",80口,"477,500円","1,750口","19,100円"
第4733回,2017/08/22,7511,19口,"1,079,900円",165口,"89,900円",46口,"584,900円",647口,"44,900円"
第4734回,2017/08/23,5200,6口,"1,177,300円",182口,"98,100円",46口,"637,700円",784口,"49,000円"
第4735回,2017/08/24,1743,23口,"970,000円",342口,"40,400円",49口,"505,200円","1,592口","20,200円"
第4736回,2017/08/25,7385,16口,"947,300円",441口,"39,400円",62口,"493,300円","1,904口","19,700円"
第4737回,2017/08/28,6729,31口,"1,028,400円",321口,"42,800円",66口,"535,600円","1,499口","21,400円"
第4738回,2017/08/29,3543,15口,"973,900円",138口,"81,100円",73口,"527,500円",721口,"40,500円"
第4739回,2017/08/30,3702,20口,"979,800円",337口,"40,800円",59口,"510,300円","1,597口","20,400円"
第4740回,2017/08/31,2738,22口,"875,000円",352口,"36,400円",75口,"455,700円","1,728口","18,200円"
